t[s]	AI 0 [V]	AI 1 [V]	AI 2 [V]
-3.0914	-4.79235	-4.58971	-4.94567
-3.0912	-4.79208	-4.59038	-4.94539
-3.091	-4.79171	-4.59131	-4.94511
-3.0908	-4.79166	-4.592	-4.9455
-3.0906	-4.79162	-4.59227	-4.94626
-3.0904	-4.79155	-4.59214	-4.94696
-3.0902	-4.79164	-4.59182	-4.94782
-3.09	-4.79163	-4.59138	-4.94871
-3.0898	-4.79155	-4.59086	-4.94946
-3.0896	-4.7916	-4.59035	-4.95002
-3.0894	-4.79164	-4.59003	-4.95076
-3.0892	-4.79174	-4.58966	-4.95126
-3.089	-4.79182	-4.58918	-4.95165
-3.0888	-4.79186	-4.58862	-4.952
-3.0886	-4.79192	-4.58798	-4.95245
-3.0884	-4.79194	-4.58743	-4.95281
-3.0882	-4.79174	-4.58704	-4.95322
-3.088	-4.79131	-4.58703	-4.95361
-3.0878	-4.79083	-4.58698	-4.954
-3.0876	-4.79039	-4.58698	-4.9545
-3.0874	-4.79018	-4.58707	-4.95496
-3.0872	-4.78989	-4.58707	-4.95541
-3.087	-4.78968	-4.58699	-4.9559
-3.0868	-4.78951	-4.58696	-4.95629
-3.0866	-4.78943	-4.58704	-4.9566
-3.0864	-4.78962	-4.58729	-4.95703
-3.0862	-4.78996	-4.5874	-4.95708
-3.086	-4.79004	-4.58754	-4.95677
-3.0858	-4.79044	-4.58762	-4.95643
-3.0856	-4.79115	-4.58746	-4.95639
-3.0854	-4.79205	-4.58688	-4.95648
-3.0852	-4.7926	-4.58638	-4.95645
-3.085	-4.79315	-4.586	-4.95619
-3.0848	-4.79354	-4.58566	-4.95566
-3.0846	-4.79388	-4.58538	-4.95502
-3.0844	-4.7941	-4.58547	-4.95429
-3.0842	-4.79448	-4.58565	-4.95353
